,accumulated_reward,epsilon,terminated,truncated,not_finalized,episode_steps,loss,accuracy
0,-32.0,0.9898020099,False,True,False,2,0.0,0.0
1,-31.0,0.98970302969901,False,True,False,1,0.0,0.0
2,-21.0,0.9896040593960401,False,True,False,1,0.0,0.0
3,-43.0,0.9893072078653534,False,True,False,3,0.0,0.0
4,-21.0,0.9892082771445669,False,True,False,1,0.0,0.0
5,-31.0,0.9891093563168525,False,True,False,1,0.0,0.0
6,-21.0,0.9890104453812208,False,True,False,1,0.0,0.0
7,-21.0,0.9889115443366827,False,True,False,1,0.0,0.0
8,-21.0,0.9888126531822491,False,True,False,1,0.0,0.0
9,-21.0,0.9887137719169309,False,True,False,1,0.0,0.0
10,-21.0,0.9886149005397392,False,True,False,1,0.0,0.0
11,-31.0,0.9885160390496852,False,True,False,1,0.0,0.0
12,-43.0,0.988219513892463,False,True,False,3,0.0,0.0
13,-31.0,0.9881206919410738,False,True,False,1,0.0,0.0
14,-21.0,0.9880218798718797,False,True,False,1,0.0,0.0
15,-31.0,0.9879230776838925,False,True,False,1,0.0,0.0
16,-21.0,0.9878242853761242,False,True,False,1,0.0,0.0
17,-32.0,0.9876267303972919,False,True,False,2,0.0,0.0
18,-32.0,0.9874292149274797,False,True,False,2,0.0,0.0
19,-21.0,0.987330472005987,False,True,False,1,0.0,0.0
20,-21.0,0.9872317389587865,False,True,False,1,0.0,0.0
21,-170.0,0.9842743341945182,False,False,True,30,0.0,0.0
22,-33.0,0.9839790814215056,False,True,False,3,0.0,0.0
23,-21.0,0.9838806835133634,False,True,False,1,0.0,0.0
24,-21.0,0.9837822954450122,False,True,False,1,0.0,0.0
25,-77.0,0.9830938543980539,False,True,False,7,0.0,0.0
26,-56.0,0.9825041455298329,False,True,False,6,0.0,0.0
27,-31.0,0.9824058951152799,False,True,False,1,0.0,0.0
28,-56.0,0.9818165989194485,False,True,False,6,0.0,0.0
29,-31.0,0.9817184172595566,False,True,False,1,0.0,0.0
30,-31.0,0.9816202454178307,False,True,False,1,0.0,0.0
31,-21.0,0.9815220833932888,False,True,False,1,0.0,0.0
32,-21.0,0.9814239311849495,False,True,False,1,0.0,0.0
33,-21.0,0.9813257887918311,False,True,False,1,0.0,0.0
34,-21.0,0.9812276562129519,False,True,False,1,0.0,0.0
35,-46.0,0.9806390667837496,False,True,False,6,0.0,0.0
36,-31.0,0.9805410028770712,False,True,False,1,0.0,0.0
37,-237.0,0.9778969810018611,False,True,False,27,0.0,0.0
38,-21.0,0.9777991913037609,False,True,False,1,0.0,0.0
39,-35.0,0.9773103894782507,False,True,False,5,0.0,0.0
40,-22.0,0.9771149371734589,False,True,False,2,0.0,0.0
41,-21.0,0.9770172256797416,False,True,False,1,0.0,0.0
42,-21.0,0.9769195239571736,False,True,False,1,0.0,0.0
43,-21.0,0.9768218320047779,False,True,False,1,0.0,0.0
44,-42.0,0.9766264774065953,False,True,False,2,0.0,0.0
45,-137.0,0.9749675399431397,False,True,False,17,0.0,0.0
46,-21.0,0.9748700431891454,False,True,False,1,0.0,0.0
47,-96.0,0.9733114204183448,False,True,False,16,0.0,0.0
48,-54.0,0.9729221542449696,False,True,False,4,0.0,0.0
49,-32.0,0.9727275795433421,False,True,False,2,0.0,0.0
50,-68.0,0.9719496697889638,False,True,False,8,0.0,0.0
51,-43.0,0.9716581140455453,False,True,False,3,0.0,0.0
52,-21.0,0.9715609482341407,False,True,False,1,0.0,0.0
53,-23.0,0.9712695090955275,False,True,False,3,0.0,0.0
54,-77.0,0.9705898243717664,False,True,False,7,0.0,0.0
55,-21.0,0.9704927653893293,False,True,False,1,0.0,0.0
56,-21.0,0.9703957161127903,False,True,False,1,0.0,0.0
57,-55.0,0.9699106152846021,False,True,False,5,0.0,0.0
58,-33.0,0.9696196711963653,False,True,False,3,0.0,0.0
59,-21.0,0.9695227092292457,False,True,False,1,0.0,0.0
60,-23.0,0.9692318815011887,False,True,False,3,0.0,0.0
61,-61.0,0.968166259349181,False,True,False,11,0.0,0.0
62,-31.0,0.9680694427232461,False,True,False,1,0.0,0.0
63,-22.0,0.9678758385153959,False,True,False,2,0.0,0.0
64,-31.0,0.9677790509315444,False,True,False,1,0.0,0.0
65,-34.0,0.9673919973740439,False,True,False,4,0.0,0.0
66,-21.0,0.9672952581743065,False,True,False,1,0.0,0.0
67,-21.0,0.9671985286484891,False,True,False,1,0.0,0.0
68,-46.0,0.966618354591737,False,True,False,6,0.0,0.0
69,-44.0,0.9662317652431351,False,True,False,4,0.0,0.0
70,-21.0,0.9661351420666109,False,True,False,1,0.0,0.0
71,-78.0,0.9653625044167007,False,True,False,8,0.0,0.0
72,-32.0,0.9651694415694424,False,True,False,2,0.0,0.0
73,-22.0,0.964976417332823,False,True,False,2,0.0,0.0
74,-55.0,0.964494025612149,False,True,False,5,0.0,0.0
75,-23.0,0.9642047063383217,False,True,False,3,0.0,0.0
76,-21.0,0.9641082858676878,False,True,False,1,0.0,0.0
77,-21.0,0.964011875039101,False,True,False,1,0.0,0.0
78,-21.0,0.9639154738515971,False,True,False,1,0.0,0.0
79,-21.0,0.963819082304212,False,True,False,1,0.0,0.0
80,-22.0,0.9636263281259421,False,True,False,2,0.0,0.0
81,-21.0,0.9635299654931295,False,True,False,1,0.0,0.0
82,-34.0,0.9631446113148762,False,True,False,4,0.0,0.0
83,-21.0,0.9630482968537447,False,True,False,1,0.0,0.0
84,-21.0,0.9629519920240593,False,True,False,1,0.0,0.0
85,-170.0,0.9600673209822055,False,False,True,30,0.0,0.0
86,-21.0,0.9599713142501073,False,True,False,1,0.0,0.0
87,-66.0,0.9593954754380565,False,True,False,6,0.0,0.0
88,-54.0,0.9590117748077722,False,True,False,4,0.0,0.0
89,-21.0,0.9589158736302914,False,True,False,1,0.0,0.0
90,-21.0,0.9588199820429284,False,True,False,1,0.0,0.0
91,-35.0,0.9583406679243175,False,True,False,5,0.0,0.0
92,-21.0,0.9582448338575251,False,True,False,1,0.0,0.0
93,-44.0,0.9578615934148393,False,True,False,4,0.0,0.0
94,-31.0,0.9577658072554979,False,True,False,1,0.0,0.0
95,-45.0,0.9572870201188738,False,True,False,5,0.0,0.0
96,-31.0,0.9571912914168619,False,True,False,1,0.0,0.0
97,-33.0,0.9569041627442185,False,True,False,3,0.0,0.0
98,-22.0,0.9567127914807113,False,True,False,2,0.0,0.0
99,-42.0,0.9565214584895431,False,True,False,2,0.0,0.0
100,-210.0,0.9536560511015619,False,False,True,30,0.0,0.0
101,-105.0,0.9522265679299802,False,True,False,15,0.0,0.0
102,-21.0,0.9521313452731872,False,True,False,1,0.0,0.0
103,-21.0,0.9520361321386599,False,True,False,1,0.0,0.0
104,-33.0,0.9517505498591503,False,True,False,3,0.0,0.0
105,-21.0,0.9516553748041644,False,True,False,1,0.0,0.0
106,-34.0,0.9512747697497587,False,True,False,4,0.0,0.0
107,-55.0,0.9507992274828486,False,True,False,5,0.0,0.0
108,-32.0,0.9506090771453444,False,True,False,2,0.0,0.0
109,-21.0,0.9505140162376299,False,True,False,1,0.0,0.0
110,-21.0,0.9504189648360061,False,True,False,1,0.0,0.0
111,-21.0,0.9503239229395225,False,True,False,1,0.0,0.0
112,-136.0,0.9488045445195185,False,True,False,16,0.0,0.0
113,-140.0,0.9459622543361814,False,False,True,30,0.0,0.0
114,-21.0,0.9458676581107478,False,True,False,1,0.0,0.0
115,-31.0,0.9457730713449367,False,True,False,1,0.0,0.0
116,-151.0,0.9437889327612502,False,True,False,21,0.0,0.0
117,-21.0,0.9436945538679741,False,True,False,1,0.0,0.0
118,-23.0,0.9434114738117066,False,True,False,3,0.0,0.0
119,-21.0,0.9433171326643255,False,True,False,1,0.0,0.0
120,-31.0,0.943222800951059,False,True,False,1,0.0,0.0
121,-44.0,0.9428455684202739,False,True,False,4,0.0,0.0
122,-101.0,0.941808956704536,False,True,False,11,0.0,0.0
123,-22.0,0.9416206043312847,False,True,False,2,0.0,0.0
124,-21.0,0.9415264422708516,False,True,False,1,0.0,0.0
125,-21.0,0.9414322896266245,False,True,False,1,0.0,0.0
126,-58.0,0.9406794073432508,False,True,False,8,0.0,0.0
127,-31.0,0.9405853394025165,False,True,False,1,0.0,0.0
128,-21.0,0.9404912808685763,False,True,False,1,0.0,0.0
129,-31.0,0.9403972317404894,False,True,False,1,0.0,0.0
130,-43.0,0.9401151407819438,False,True,False,3,0.0,0.0
131,-57.0,0.9394572575746754,False,True,False,7,0.0,0.0
132,-59.0,0.9386120841685685,False,True,False,9,0.0,0.0
133,-160.0,0.9358003270704351,False,False,True,30,0.0,0.0
