,accumulated_reward,epsilon,terminated,truncated,not_finalized,episode_steps,loss,accuracy
0,-113.0,0.9887137719169309,False,True,False,13,0.0,0.0
1,-22.0,0.9885160390496852,False,True,False,2,0.0,0.0
2,-150.0,0.9865408840256308,False,True,False,20,0.0,0.0
3,-32.0,0.9863435857142345,False,True,False,2,0.0,0.0
4,-21.0,0.9862449513556631,False,True,False,1,0.0,0.0
5,-34.0,0.9858505125458732,False,True,False,4,0.0,0.0
6,-23.0,0.9855547869666389,False,True,False,3,0.0,0.0
7,-940.0,0.9708810595641748,False,False,True,150,0.0,0.0
8,-269.0,0.9661351420666109,False,True,False,49,0.0,0.0
9,-21.0,0.9660385285524042,False,True,False,1,0.0,0.0
10,-23.0,0.9657487459740283,False,True,False,3,0.0,0.0
11,-46.0,0.9651694415694424,False,True,False,6,0.0,0.0
12,-21.0,0.9650729246252855,False,True,False,1,0.0,0.0
13,-21.0,0.964976417332823,False,True,False,1,0.0,0.0
14,-34.0,0.964590484660615,False,True,False,4,0.0,0.0
15,-543.0,0.9566171202015632,False,True,False,83,0.0,0.0
16,-103.0,0.9553742638331311,False,True,False,13,0.0,0.0
17,-390.0,0.9496588957282307,False,True,False,60,0.0,0.0
18,-21.0,0.9495639298386579,False,True,False,1,0.0,0.0
19,-21.0,0.949468973445674,False,True,False,1,0.0,0.0
20,-21.0,0.9493740265483295,False,True,False,1,0.0,0.0
21,-21.0,0.9492790891456746,False,True,False,1,0.0,0.0
22,-122.0,0.9471928665230548,False,True,False,22,0.0,0.0
23,-880.0,0.9330903020540664,False,False,True,150,0.0,0.0
24,-21.0,0.932996993023861,False,True,False,1,0.0,0.0
25,-940.0,0.9191057880660038,False,False,True,150,0.0,0.0
26,-325.0,0.9140643308711686,False,True,False,55,0.0,0.0
27,-850.0,0.9004550105199364,False,False,True,150,0.0,0.0
28,-21.0,0.9003649650188844,False,True,False,1,0.0,0.0
29,-31.0,0.9002749285223826,False,True,False,1,0.0,0.0
30,-104.0,0.8990153625450263,False,True,False,14,0.0,0.0
31,-492.0,0.8907819413450971,False,True,False,92,1106.8743896484375,0.8359375
32,-22.0,0.8906037938646475,False,True,False,2,826.3170166015625,0.765625
33,-150.0,0.8888242774092694,False,True,False,20,244.01588439941406,0.7421875
34,-21.0,0.8887353949815284,False,True,False,1,204.668701171875,0.8359375
35,-33.0,0.8884688010242071,False,True,False,3,272.560302734375,0.7890625
36,-45.0,0.888024655461691,False,True,False,5,354.93408203125,0.734375
37,-34.0,0.8876694988774336,False,True,False,4,210.88800048828125,0.7109375
38,-86.0,0.8862502923856952,False,True,False,16,207.2144317626953,0.75
39,-89.0,0.8854529860982195,False,True,False,9,228.54205322265625,0.7421875
40,-741.0,0.8739286251327403,False,True,False,131,58.59275817871094,0.7109375
41,-21.0,0.873841232270227,False,True,False,1,41.002906799316406,0.6953125
42,-33.0,0.8735791061149091,False,True,False,3,54.480926513671875,0.75
43,-172.0,0.8707879815978955,False,True,False,32,31.985254287719727,0.6796875
44,-31.0,0.8707009027997357,False,True,False,1,24.588834762573242,0.7265625
45,-330.0,0.8654920790359436,False,True,False,60,45.124916076660156,0.703125
46,-372.0,0.8610029775459584,False,True,False,52,56.765899658203125,0.734375
47,-810.0,0.8481836770339034,False,False,True,150,25.69123077392578,0.8359375
48,-102.0,0.8471664162361314,False,True,False,12,28.031885147094727,0.7578125
49,-690.0,0.8345531255081428,False,False,True,150,22.182939529418945,0.734375
50,-34.0,0.8342193543277889,False,True,False,4,12.992530822753906,0.7421875
51,-21.0,0.8341359323923562,False,True,False,1,13.062440872192383,0.8359375
52,-22.0,0.833969113547237,False,True,False,2,15.35599136352539,0.8515625
53,-693.0,0.8254228929549567,False,True,False,103,21.126174926757812,0.8125
54,-21.0,0.8253403506656612,False,True,False,1,49.39612579345703,0.8203125
55,-21.0,0.8252578166305947,False,True,False,1,20.284473419189453,0.8515625
56,-21.0,0.8251752908489317,False,True,False,1,23.400100708007812,0.78125
57,-337.0,0.8213058737613245,False,True,False,47,46.676815032958984,0.7890625
58,-21.0,0.8212237431739483,False,True,False,1,27.78189468383789,0.8359375
59,-700.0,0.8089967076979657,False,False,True,150,17.121389389038086,0.765625
60,-78.0,0.8083497368055874,False,True,False,8,23.149845123291016,0.8359375
61,-960.0,0.7963143798263511,False,False,True,150,18.123767852783203,0.734375
62,-41.0,0.7954388718500855,False,True,False,11,11.852899551391602,0.7265625
63,-830.0,0.7835957421477007,False,False,True,150,11.992462158203125,0.7890625
64,-21.0,0.7835173825734859,False,True,False,1,8.926130294799805,0.828125
65,-950.0,0.7718517495320576,False,False,True,150,10.393131256103516,0.8125
66,-21.0,0.7717745643571045,False,True,False,1,12.054788589477539,0.890625
67,-22.0,0.7716202171619787,False,True,False,2,8.95958137512207,0.8203125
68,-34.0,0.7713116153692405,False,True,False,4,7.299554824829102,0.75
69,-21.0,0.7712344842077036,False,True,False,1,11.874959945678711,0.7578125
70,-45.0,0.7708489440813361,False,True,False,5,7.2866363525390625,0.78125
71,-32.0,0.7706947820010093,False,True,False,2,10.664194107055664,0.8125
72,-21.0,0.7706177125228092,False,True,False,1,10.24793815612793,0.8046875
73,-21.0,0.770540650751557,False,True,False,1,11.15584945678711,0.7734375
74,-33.0,0.7703095116717804,False,True,False,3,11.048861503601074,0.7734375
75,-21.0,0.7702324807206132,False,True,False,1,10.93505859375,0.7421875
76,-76.0,0.7690010325992473,False,True,False,16,13.43747329711914,0.8046875
77,-43.0,0.7687703553587296,False,True,False,3,16.073345184326172,0.8203125
78,-790.0,0.7573242878454776,False,False,True,150,7.8168864250183105,0.71875
79,-45.0,0.7569457014264108,False,True,False,5,9.064704895019531,0.8203125
80,-21.0,0.7568700068562682,False,True,False,1,6.530365467071533,0.765625
81,-93.0,0.7551311193818694,False,True,False,23,13.321367263793945,0.671875
82,-69.0,0.7544517731582074,False,True,False,9,17.51038360595703,0.765625
83,-21.0,0.7543763279808916,False,True,False,1,7.142828464508057,0.7734375
84,-750.0,0.7431445702520972,False,False,True,150,8.785807609558105,0.765625
85,-21.0,0.743070255795072,False,True,False,1,7.282125473022461,0.7890625
86,-640.0,0.7320068319056956,False,False,True,150,6.203480243682861,0.8125
87,-56.0,0.7315677375929379,False,True,False,6,5.073855400085449,0.8359375
88,-31.0,0.7314945808191786,False,True,False,1,5.926421165466309,0.78125
89,-21.0,0.7314214313610967,False,True,False,1,7.91779899597168,0.7890625
90,-31.0,0.7313482892179606,False,True,False,1,6.232186317443848,0.734375
91,-88.0,0.7307634153231568,False,True,False,8,10.128829956054688,0.8671875
92,-36.0,0.7303250668738611,False,True,False,6,5.916773319244385,0.7421875
93,-730.0,0.7194514035441164,False,False,True,150,6.659781455993652,0.734375
94,-32.0,0.7193075204579217,False,True,False,2,7.332052230834961,0.734375
95,-33.0,0.7190917497802907,False,True,False,3,9.840317726135254,0.78125
96,-21.0,0.7190198406053127,False,True,False,1,7.69217586517334,0.7578125
97,-32.0,0.71887604382739,False,True,False,2,6.661349296569824,0.78125
98,-21.0,0.7188041562230073,False,True,False,1,5.653751373291016,0.796875
99,-33.0,0.7185885365395462,False,True,False,3,7.563864707946777,0.7265625
100,-670.0,0.7078896160541917,False,False,True,150,12.404363632202148,0.7734375
101,-730.0,0.6973499896484547,False,False,True,150,6.004220008850098,0.8203125
102,-21.0,0.69728025464949,False,True,False,1,5.417847156524658,0.7734375
103,-81.0,0.6965136297584875,False,True,False,11,6.722390174865723,0.7734375
104,-75.0,0.6954695903363425,False,True,False,15,5.490535736083984,0.84375
105,-33.0,0.6952609703226339,False,True,False,3,4.25963830947876,0.7265625
106,-830.0,0.684909369288371,False,False,True,150,5.58938455581665,0.8125
107,-700.0,0.6747118911641323,False,False,True,150,7.282639980316162,0.734375
108,-70.0,0.6740374828123681,False,True,False,10,4.593321800231934,0.75
109,-21.0,0.6739700790640869,False,True,False,1,3.211242198944092,0.7734375
110,-770.0,0.6639354738362617,False,False,True,150,4.610703468322754,0.828125
111,-23.0,0.6637363131115113,False,True,False,3,5.748232364654541,0.7890625
112,-92.0,0.662277625431881,False,True,False,22,5.744714260101318,0.7734375
113,-126.0,0.6605578542871088,False,True,False,26,4.669543266296387,0.75
114,-58.0,0.6600295929228917,False,True,False,8,4.421304702758789,0.75
115,-411.0,0.6540502718315259,False,True,False,91,4.432405471801758,0.8125
116,-710.0,0.6443122486152802,False,False,True,150,4.707340717315674,0.75
117,-31.0,0.6442478173904187,False,True,False,1,4.558538436889648,0.7890625
118,-21.0,0.6441833926086796,False,True,False,1,5.958291053771973,0.71875
